OBJECTID,GEO_ID_TRT,TRACT_LBL,E19019181,M19019181,E19019182,M19019182,E19019183,M19019183,E19019184,M19019184,E19019185,M19019185,E19019186,M19019186,E19019187,M19019187,E19019188,M19019188
224,53033025602,Tract 025602,113682,11496,75156,43047,125563,53626,116875,30128,135700,46107,128750,73229,,,105962,14705
225,53033025701,Tract 025701,62953,3484,43611,6161,74167,13875,92434,25462,129861,45951,,,,,77750,2635
226,53033025702,Tract 025702,100461,10437,48333,25790,97768,10413,141625,39577,117083,28550,145491,77962,,,,
227,53033025803,Tract 025803,67985,5616,51094,10920,84527,6544,66042,32828,97443,23566,74450,10223,61295,5077,,
228,53033025804,Tract 025804,82222,17025,39500,15638,63750,20925,104457,22658,104583,22278,151477,4746,52800,12464,133438,53081
229,53033025805,Tract 025805,66633,5574,49236,12748,84144,14061,66266,14130,65000,25108,102669,38233,84779,67479,,
230,53033025806,Tract 025806,85031,7654,63047,32020,86581,11449,78295,38722,89130,21319,101298,67398,101595,87428,,
231,53033026001,Tract 026001,93571,15594,74336,28264,98114,30620,106118,18838,89375,37660,59276,3537,,,145109,42230
232,53033026002,Tract 026002,58335,4588,43125,15422,59587,12632,74175,25286,42294,31941,,,,,108396,59797
233,53033026100,Tract 026100,52242,5650,29175,13086,54196,8057,52054,27854,,,51023,20932,116563,79353,,
234,53033026200,Tract 026200,59225,10717,35368,12854,64956,8181,71389,41387,107981,13430,155057,85251,,,,
235,53033026300,Tract 026300,75040,15143,31667,11278,77321,38631,128125,82219,76058,13195,116250,95367,,,96382,1150
236,53033026400,Tract 026400,53877,8151,30167,14488,70082,13630,,,,,70174,53619,65515,41598,,
237,53033026500,Tract 026500,39301,11491,22371,5012,46064,16464,57500,31143,52275,19883,39427,8673,,,,
238,53033026600,Tract 026600,74395,15324,42443,10072,61823,14149,116910,20203,,,,,,,,
239,53033026700,Tract 026700,83919,18722,45460,14553,99688,36292,111328,22254,,,,,,,,
240,53033026801,Tract 026801,49260,7840,29490,14902,56406,21546,47639,12373,47750,19065,125847,61025,,,,
241,53033026802,Tract 026802,53750,9800,29695,6146,55703,19028,,,79539,69321,110682,46775,,,96667,86024
242,53033027000,Tract 027000,54844,9759,50167,18246,50809,11393,51667,17787,62981,54084,106211,2904,125208,38400,,
243,53033027100,Tract 027100,43646,7252,29159,9572,40368,9097,76402,19542,57344,52041,61131,35165,,,,
244,53033027200,Tract 027200,59438,25989,20313,11337,95469,13580,50750,12341,110234,32758,112955,109649,98667,96928,,
245,53033027300,Tract 027300,57448,7180,37847,2533,66061,15797,49453,10235,69250,51952,95938,3188,,,58684,10579
246,53033027400,Tract 027400,75449,8575,36111,12749,90595,10118,87250,23019,81250,25678,92045,29200,103203,38355,,
247,53033027500,Tract 027500,60989,7258,29740,11019,72973,16738,68913,30860,44714,28968,67836,2079,19479,11878,,
248,53033027600,Tract 027600,77455,13651,47750,20400,81250,36019,85667,81197,131042,84767,54500,38077,,,88015,38775
249,53033027701,Tract 027701,71444,17556,30410,13905,132727,19394,90231,29717,96951,53046,77266,51215,,,,
250,53033027702,Tract 027702,90487,20767,36855,11417,107741,16444,115000,83405,154688,11606,104412,72056,,,,
251,53033027800,Tract 027800,100077,14530,45625,14593,100732,12655,131944,61656,134238,31248,,,,,,
252,53033027900,Tract 027900,60482,8666,34746,11549,61558,12874,139554,14621,83087,42026,108311,32027,93897,31158,132019,93450
253,53033028000,Tract 028000,49773,3839,38594,8760,51157,7108,64274,9534,119167,53919,123053,83354,46190,19180,,
254,53033028100,Tract 028100,61985,7212,19783,10731,66343,4815,74545,16127,62361,18995,,,52750,26158,145231,19844
255,53033028200,Tract 028200,57267,8024,31495,10924,62469,5310,121055,37266,75947,24042,,,90357,41099,,
256,53033028300,Tract 028300,83897,10337,55882,17249,93750,14503,107321,18786,81818,20272,137188,38315,158986,614,,
257,53033028402,Tract 028402,51006,6513,38510,22444,46042,10159,44972,13620,,,104875,39581,106250,19505,102750,77713
258,53033028403,Tract 028403,48212,7785,30953,3142,56528,40814,61875,52607,102643,95352,56654,15554,,,,
259,53033028500,Tract 028500,69036,6357,26250,10867,74231,16868,109643,51416,69583,42009,101563,31542,,,,
260,53033028600,Tract 028600,84964,14883,35266,4050,119720,9263,108015,62609,140417,62321,250001,,,,,
261,53033028700,Tract 028700,85598,12806,53984,16157,86719,20330,93250,43027,102639,19547,,,,,129583,65828
